OrderID,OrderDate,OrderMonth,CustomerID,Country,TotalQuantity,DistinctProducts,LineCount,OrderValueGBP,AvgUnitPriceGBP,MaxUnitPriceGBP
536389,2010-12-01,2010-12,12431,Australia,107,14,14,358.25,3.35,8.5
536390,2010-12-01,2010-12,17511,United Kingdom,1568,24,24,1825.74,1.16,8.5
536392,2010-12-01,2010-12,13705,United Kingdom,103,10,10,318.14,3.09,165.0
536393,2010-12-01,2010-12,13747,United Kingdom,8,1,1,79.6,9.95,9.95
536394,2010-12-01,2010-12,13408,United Kingdom,544,11,11,1024.68,1.88,4.95
536395,2010-12-01,2010-12,13767,United Kingdom,260,14,14,507.88,1.95,3.95
536396,2010-12-01,2010-12,17850,United Kingdom,102,18,18,376.36,3.69,35.75
536397,2010-12-01,2010-12,17924,United Kingdom,60,2,2,279.0,4.65,4.65
536398,2010-12-01,2010-12,13448,United Kingdom,150,17,17,426.56,2.84,8.5
536399,2010-12-01,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536400,2010-12-01,2010-12,13448,United Kingdom,12,1,1,17.4,1.45,1.45
536401,2010-12-01,2010-12,15862,United Kingdom,124,64,64,354.23,2.86,16.95
536402,2010-12-01,2010-12,15513,United Kingdom,116,3,3,357.0,3.08,4.25
536403,2010-12-01,2010-12,12791,Netherlands,96,1,1,177.6,1.85,1.85
536404,2010-12-01,2010-12,16218,United Kingdom,438,28,28,471.3,1.08,2.1
536405,2010-12-01,2010-12,14045,United Kingdom,128,1,1,326.4,2.55,2.55
536406,2010-12-01,2010-12,17850,United Kingdom,96,17,17,353.14,3.68,35.75
536407,2010-12-01,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536408,2010-12-01,2010-12,14307,United Kingdom,558,48,48,783.11,1.4,7.95
536409,2010-12-01,2010-12,17908,United Kingdom,173,51,58,243.28,1.41,7.95
536412,2010-12-01,2010-12,17920,United Kingdom,220,54,81,514.41,2.34,9.95
536415,2010-12-01,2010-12,12838,United Kingdom,228,59,59,390.79,1.71,8.5
536416,2010-12-01,2010-12,13255,United Kingdom,110,6,6,225.7,2.05,9.95
536420,2010-12-01,2010-12,16583,United Kingdom,111,14,14,233.45,2.1,4.95
536423,2010-12-01,2010-12,18085,United Kingdom,78,9,9,303.9,3.9,4.95
536425,2010-12-01,2010-12,13758,United Kingdom,137,17,17,362.45,2.65,9.95
536437,2010-12-01,2010-12,13694,United Kingdom,1004,6,6,842.12,0.84,3.39
536446,2010-12-01,2010-12,15983,United Kingdom,329,28,32,440.89,1.34,9.95
536460,2010-12-01,2010-12,14849,United Kingdom,158,14,14,295.54,1.87,7.95
536463,2010-12-01,2010-12,14849,United Kingdom,12,1,1,17.4,1.45,1.45
536464,2010-12-01,2010-12,17968,United Kingdom,160,74,85,277.35,1.73,7.95
536466,2010-12-01,2010-12,14849,United Kingdom,18,2,2,42.9,2.38,4.25
536477,2010-12-01,2010-12,16210,United Kingdom,1070,14,14,2474.74,2.31,10.95
536488,2010-12-01,2010-12,17897,United Kingdom,72,31,35,165.89,2.3,8.5
536500,2010-12-01,2010-12,17377,United Kingdom,102,15,15,223.9,2.2,5.95
536502,2010-12-01,2010-12,16552,United Kingdom,39,5,5,95.29,2.44,12.75
536508,2010-12-01,2010-12,17181,United Kingdom,216,2,2,155.52,0.72,1.06
536514,2010-12-01,2010-12,17951,United Kingdom,118,5,5,295.5,2.5,12.75
536520,2010-12-01,2010-12,14729,United Kingdom,197,69,71,313.49,1.59,12.75
536521,2010-12-01,2010-12,12748,United Kingdom,1,1,1,4.95,4.95,4.95
536522,2010-12-01,2010-12,15012,United Kingdom,86,46,54,191.06,2.22,12.75
536523,2010-12-01,2010-12,12868,United Kingdom,112,12,12,203.3,1.82,6.75
536524,2010-12-01,2010-12,17572,United Kingdom,24,4,4,70.8,2.95,2.95
536525,2010-12-01,2010-12,14078,United Kingdom,29,13,13,136.24,4.7,12.75
536526,2010-12-01,2010-12,14001,United Kingdom,94,9,9,301.24,3.2,8.5
536527,2010-12-01,2010-12,12662,Germany,156,14,14,243.48,1.56,4.65
536528,2010-12-01,2010-12,15525,United Kingdom,124,44,57,313.93,2.53,14.95
536529,2010-12-01,2010-12,14237,United Kingdom,38,9,9,161.0,4.24,16.95
536530,2010-12-01,2010-12,17905,United Kingdom,72,22,23,201.75,2.8,19.95
536531,2010-12-01,2010-12,15485,United Kingdom,416,22,23,950.09,2.28,9.95
536532,2010-12-01,2010-12,12433,Norway,1852,73,73,1919.14,1.04,7.95
536533,2010-12-01,2010-12,16955,United Kingdom,80,6,6,156.1,1.95,16.95
536534,2010-12-01,2010-12,15350,United Kingdom,51,5,5,115.65,2.27,4.95
536535,2010-12-01,2010-12,15605,United Kingdom,71,12,12,194.85,2.74,7.95
536536,2010-12-01,2010-12,18144,United Kingdom,95,3,3,165.05,1.74,4.95
536537,2010-12-01,2010-12,15922,United Kingdom,138,11,11,369.5,2.68,12.75
536538,2010-12-01,2010-12,14594,United Kingdom,146,31,31,255.0,1.75,8.5
536539,2010-12-01,2010-12,15165,United Kingdom,160,27,27,487.75,3.05,18.95
536540,2010-12-01,2010-12,14911,EIRE,230,19,19,490.38,2.13,9.95
536541,2010-12-01,2010-12,14911,EIRE,12,1,1,15.0,1.25,1.25
536542,2010-12-01,2010-12,16456,United Kingdom,392,16,16,787.4,2.01,2.95
536551,2010-12-01,2010-12,17346,United Kingdom,88,29,35,146.61,1.67,8.5
536556,2010-12-01,2010-12,17643,United Kingdom,71,8,8,101.55,1.43,10.95
536557,2010-12-01,2010-12,17841,United Kingdom,199,62,65,537.38,2.7,16.95
536559,2010-12-01,2010-12,17873,United Kingdom,129,7,9,215.15,1.67,6.75
536560,2010-12-01,2010-12,13093,United Kingdom,256,13,13,799.4,3.12,14.95
536561,2010-12-01,2010-12,12921,United Kingdom,140,15,15,322.4,2.3,4.25
536562,2010-12-01,2010-12,13468,United Kingdom,99,18,18,308.65,3.12,12.75
536563,2010-12-01,2010-12,17760,United Kingdom,165,9,9,172.54,1.05,8.5
536564,2010-12-01,2010-12,13468,United Kingdom,12,2,2,51.4,4.28,9.95
536566,2010-12-01,2010-12,16928,United Kingdom,93,6,6,116.25,1.25,1.25
536567,2010-12-01,2010-12,16048,United Kingdom,132,7,7,251.4,1.9,2.1
536568,2010-12-01,2010-12,16048,United Kingdom,12,1,1,5.04,0.42,0.42
536569,2010-12-01,2010-12,16274,United Kingdom,153,63,65,337.75,2.21,29.95
536570,2010-12-01,2010-12,14496,United Kingdom,86,5,5,304.34,3.54,14.95
536571,2010-12-01,2010-12,14696,United Kingdom,284,18,18,294.62,1.04,7.95
536572,2010-12-01,2010-12,16539,United Kingdom,301,21,21,442.35,1.47,6.95
536573,2010-12-01,2010-12,17025,United Kingdom,136,4,4,143.12,1.05,1.25
536574,2010-12-01,2010-12,17025,United Kingdom,3,1,1,17.85,5.95,5.95
536575,2010-12-01,2010-12,13777,United Kingdom,858,8,8,1552.98,1.81,4.6
536576,2010-12-01,2010-12,13777,United Kingdom,1122,16,16,2558.42,2.28,4.65
536577,2010-12-01,2010-12,13777,United Kingdom,388,4,4,497.0,1.28,1.45
536578,2010-12-01,2010-12,17690,United Kingdom,104,8,8,279.6,2.69,4.65
536579,2010-12-01,2010-12,13777,United Kingdom,276,2,2,315.96,1.14,1.45
536580,2010-12-01,2010-12,17690,United Kingdom,66,6,6,97.2,1.47,2.1
536581,2010-12-01,2010-12,13777,United Kingdom,200,1,1,330.0,1.65,1.65
536582,2010-12-01,2010-12,12947,United Kingdom,184,17,17,304.04,1.65,9.95
536583,2010-12-01,2010-12,13777,United Kingdom,120,1,1,198.0,1.65,1.65
536584,2010-12-01,2010-12,13777,United Kingdom,384,1,1,1132.8,2.95,2.95
536585,2010-12-01,2010-12,17460,United Kingdom,2,1,1,19.9,9.95,9.95
536586,2010-12-01,2010-12,18229,United Kingdom,44,7,7,344.2,7.82,14.95
536587,2010-12-01,2010-12,14142,United Kingdom,313,22,22,311.81,1.0,8.5
536588,2010-12-01,2010-12,17069,United Kingdom,103,11,11,277.05,2.69,7.95
536590,2010-12-01,2010-12,13065,United Kingdom,74,14,14,205.86,2.78,12.75
536591,2010-12-01,2010-12,14606,United Kingdom,93,40,40,198.32,2.13,9.95
536593,2010-12-01,2010-12,16835,United Kingdom,19,5,5,81.75,4.3,7.95
536594,2010-12-01,2010-12,15235,United Kingdom,34,5,5,79.5,2.34,3.75
536595,2010-12-01,2010-12,13576,United Kingdom,108,11,11,349.15,3.23,5.95
536597,2010-12-01,2010-12,18011,United Kingdom,71,28,28,102.79,1.45,9.95
536598,2010-12-02,2010-12,13090,United Kingdom,76,4,4,160.6,2.11,4.25
536599,2010-12-02,2010-12,15694,United Kingdom,80,6,6,306.4,3.83,8.95
536600,2010-12-02,2010-12,17850,United Kingdom,56,12,12,251.62,4.49,35.75
536601,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536602,2010-12-02,2010-12,17850,United Kingdom,64,12,12,163.76,2.56,7.65
536603,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536604,2010-12-02,2010-12,14741,United Kingdom,114,9,9,184.5,1.62,3.95
536605,2010-12-02,2010-12,13715,United Kingdom,107,15,15,272.65,2.55,6.75
536607,2010-12-02,2010-12,17732,United Kingdom,93,18,18,303.97,3.27,12.75
536608,2010-12-02,2010-12,12855,United Kingdom,30,3,3,38.1,1.27,2.95
536609,2010-12-02,2010-12,17850,United Kingdom,88,16,16,244.46,2.78,7.65
536610,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536611,2010-12-02,2010-12,15752,United Kingdom,153,14,14,259.65,1.7,4.65
536612,2010-12-02,2010-12,17850,United Kingdom,82,15,15,206.76,2.52,6.95
536613,2010-12-02,2010-12,17855,United Kingdom,197,17,17,208.97,1.06,9.95
536614,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536615,2010-12-02,2010-12,14047,United Kingdom,108,12,12,286.92,2.66,9.95
536616,2010-12-02,2010-12,17925,United Kingdom,72,1,1,244.08,3.39,3.39
536617,2010-12-02,2010-12,13941,United Kingdom,644,11,11,1095.12,1.7,5.95
536618,2010-12-02,2010-12,17017,United Kingdom,600,21,21,780.12,1.3,4.25
536619,2010-12-02,2010-12,17017,United Kingdom,48,2,2,97.2,2.02,3.75
536620,2010-12-02,2010-12,14135,United Kingdom,741,23,23,485.25,0.65,4.95
536621,2010-12-02,2010-12,13108,United Kingdom,298,10,10,350.06,1.17,8.5
536623,2010-12-02,2010-12,15601,United Kingdom,666,48,48,768.38,1.15,7.95
536624,2010-12-02,2010-12,13418,United Kingdom,228,22,22,610.64,2.68,10.95
536626,2010-12-02,2010-12,13418,United Kingdom,6,1,1,12.6,2.1,2.1
536627,2010-12-02,2010-12,15658,United Kingdom,64,14,14,306.2,4.78,19.95
536628,2010-12-02,2010-12,17850,United Kingdom,86,16,16,230.56,2.68,7.65
536629,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536630,2010-12-02,2010-12,17850,United Kingdom,88,16,16,244.46,2.78,7.65
536631,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536632,2010-12-02,2010-12,14388,United Kingdom,170,21,21,312.8,1.84,10.95
536633,2010-12-02,2010-12,14901,United Kingdom,105,18,18,204.15,1.94,10.75
536634,2010-12-02,2010-12,18041,United Kingdom,159,14,14,193.78,1.22,6.75
536635,2010-12-02,2010-12,15955,United Kingdom,246,20,20,572.38,2.33,7.95
536636,2010-12-02,2010-12,15070,United Kingdom,36,1,1,106.2,2.95,2.95
536637,2010-12-02,2010-12,18041,United Kingdom,165,55,67,235.16,1.43,9.95
536638,2010-12-02,2010-12,16244,United Kingdom,619,63,63,1056.63,1.71,7.95
536639,2010-12-02,2010-12,15111,United Kingdom,106,16,16,288.5,2.72,7.95
536641,2010-12-02,2010-12,12748,United Kingdom,1,1,1,4.25,4.25,4.25
536643,2010-12-02,2010-12,14390,United Kingdom,74,26,27,223.7,3.02,9.95
536663,2010-12-02,2010-12,16546,United Kingdom,156,6,6,299.4,1.92,2.55
536667,2010-12-02,2010-12,15260,United Kingdom,214,16,16,362.5,1.69,12.75
536670,2010-12-02,2010-12,15260,United Kingdom,40,1,1,58.0,1.45,1.45
536671,2010-12-02,2010-12,13305,United Kingdom,132,5,5,136.2,1.03,1.65
536672,2010-12-02,2010-12,14491,United Kingdom,40,4,4,127.2,3.18,7.95
536673,2010-12-02,2010-12,14060,United Kingdom,504,8,8,339.84,0.67,1.25
536674,2010-12-02,2010-12,15923,United Kingdom,122,21,21,127.08,1.04,9.95
536676,2010-12-02,2010-12,16752,United Kingdom,54,9,9,207.5,3.84,79.95
536681,2010-12-02,2010-12,17287,United Kingdom,46,13,13,113.92,2.48,12.75
536685,2010-12-02,2010-12,17850,United Kingdom,108,17,17,380.46,3.52,35.75
536688,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536690,2010-12-02,2010-12,17850,United Kingdom,92,17,17,331.26,3.6,35.75
536693,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536698,2010-12-02,2010-12,15363,United Kingdom,144,16,16,326.0,2.26,7.95
536707,2010-12-02,2010-12,12915,United Kingdom,41,13,13,199.65,4.87,12.75
536732,2010-12-02,2010-12,15544,United Kingdom,274,26,26,354.54,1.29,12.75
536733,2010-12-02,2010-12,15738,United Kingdom,255,14,14,329.65,1.29,5.45
536735,2010-12-02,2010-12,17381,United Kingdom,128,1,1,211.2,1.65,1.65
536736,2010-12-02,2010-12,17381,United Kingdom,1296,5,5,824.88,0.64,1.65
536738,2010-12-02,2010-12,15827,United Kingdom,42,7,7,98.18,2.34,10.95
536739,2010-12-02,2010-12,14180,United Kingdom,31,12,12,201.75,6.51,16.95
536740,2010-12-02,2010-12,15827,United Kingdom,67,7,7,92.75,1.38,9.95
536741,2010-12-02,2010-12,13117,United Kingdom,130,15,15,202.12,1.55,4.25
536742,2010-12-02,2010-12,16916,United Kingdom,103,48,50,198.08,1.92,9.95
536743,2010-12-02,2010-12,17964,United Kingdom,195,35,35,261.76,1.34,11.95
536744,2010-12-02,2010-12,14466,United Kingdom,137,10,10,379.75,2.77,14.95
536745,2010-12-02,2010-12,17235,United Kingdom,126,10,10,341.9,2.71,7.95
536746,2010-12-02,2010-12,16510,United Kingdom,92,13,13,248.1,2.7,12.75
536747,2010-12-02,2010-12,17802,United Kingdom,75,12,12,100.2,1.34,2.1
536748,2010-12-02,2010-12,15107,United Kingdom,26,5,5,116.0,4.46,9.95
536749,2010-12-02,2010-12,17976,United Kingdom,106,56,65,353.19,3.33,12.75
536750,2010-12-02,2010-12,17850,United Kingdom,118,19,19,434.8,3.68,35.75
536751,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536752,2010-12-02,2010-12,17850,United Kingdom,104,19,19,390.66,3.76,35.75
536753,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536754,2010-12-02,2010-12,14449,United Kingdom,142,50,50,210.24,1.48,3.75
536759,2010-12-02,2010-12,16781,United Kingdom,113,17,17,311.25,2.75,14.95
536761,2010-12-02,2010-12,13491,United Kingdom,36,7,7,98.9,2.75,9.95
536762,2010-12-02,2010-12,16186,United Kingdom,231,20,20,307.68,1.33,5.95
536763,2010-12-02,2010-12,17685,United Kingdom,331,12,12,452.52,1.37,4.25
536769,2010-12-02,2010-12,17581,United Kingdom,375,31,31,668.4,1.78,12.75
536771,2010-12-02,2010-12,17581,United Kingdom,66,7,7,118.38,1.79,4.25
536777,2010-12-02,2010-12,15732,United Kingdom,97,5,5,138.1,1.42,4.25
536778,2010-12-02,2010-12,13138,United Kingdom,125,14,14,193.23,1.55,7.95
536781,2010-12-02,2010-12,17460,United Kingdom,24,1,1,50.4,2.1,2.1
536782,2010-12-02,2010-12,17567,United Kingdom,244,27,27,517.95,2.12,12.75
536783,2010-12-02,2010-12,15061,United Kingdom,2909,38,38,4076.48,1.4,7.65
536784,2010-12-02,2010-12,15061,United Kingdom,1330,25,25,2170.9,1.63,7.65
536785,2010-12-02,2010-12,15061,United Kingdom,1008,6,6,2730.96,2.71,10.95
536786,2010-12-02,2010-12,15061,United Kingdom,144,2,2,324.0,2.25,4.25
536787,2010-12-02,2010-12,17850,United Kingdom,76,13,13,192.46,2.53,7.65
536788,2010-12-02,2010-12,15061,United Kingdom,60,1,1,75.0,1.25,1.25
536789,2010-12-02,2010-12,17850,United Kingdom,12,2,2,22.2,1.85,1.85
536790,2010-12-02,2010-12,17850,United Kingdom,141,17,17,532.01,3.77,35.75
536791,2010-12-02,2010-12,17850,United Kingdom,24,2,2,44.4,1.85,1.85
536792,2010-12-02,2010-12,15061,United Kingdom,24,1,1,30.0,1.25,1.25
536793,2010-12-02,2010-12,16203,United Kingdom,70,11,11,170.7,2.44,4.25
536794,2010-12-02,2010-12,13767,United Kingdom,96,4,4,322.8,3.36,3.95
536795,2010-12-02,2010-12,15640,United Kingdom,180,7,7,333.72,1.85,2.95
536796,2010-12-02,2010-12,15574,United Kingdom,176,96,121,375.65,2.13,9.95
536797,2010-12-02,2010-12,16770,United Kingdom,56,6,6,130.8,2.34,3.75
536798,2010-12-02,2010-12,17838,United Kingdom,472,29,31,717.16,1.52,12.75
536799,2010-12-02,2010-12,17228,United Kingdom,122,18,18,183.3,1.5,2.1
536800,2010-12-02,2010-12,14829,United Kingdom,190,19,19,236.97,1.25,5.95
536802,2010-12-02,2010-12,17412,United Kingdom,50,8,8,197.3,3.95,8.5
536803,2010-12-02,2010-12,14911,EIRE,6,1,1,22.5,3.75,3.75
536804,2010-12-02,2010-12,14031,United Kingdom,531,25,25,1714.25,3.23,10.95
536805,2010-12-02,2010-12,14775,United Kingdom,384,20,20,406.56,1.06,2.1
536806,2010-12-02,2010-12,12971,United Kingdom,84,5,5,45.12,0.54,0.85
536808,2010-12-02,2010-12,17659,United Kingdom,64,12,12,247.8,3.87,16.95
536809,2010-12-02,2010-12,15299,United Kingdom,1824,1,1,1003.2,0.55,0.55
536810,2010-12-02,2010-12,15299,United Kingdom,204,1,1,303.96,1.49,1.49
536811,2010-12-02,2010-12,15299,United Kingdom,69,1,1,527.85,7.65,7.65
536813,2010-12-02,2010-12,15646,United Kingdom,230,17,17,189.8,0.83,2.95
536819,2010-12-02,2010-12,13402,United Kingdom,190,17,17,308.28,1.62,8.5
536821,2010-12-02,2010-12,17757,United Kingdom,80,23,23,143.45,1.79,9.95
536823,2010-12-02,2010-12,13011,United Kingdom,13,3,3,50.55,3.89,5.95
536824,2010-12-02,2010-12,13798,United Kingdom,160,1,1,408.0,2.55,2.55
536830,2010-12-02,2010-12,16754,United Kingdom,4280,2,2,2002.4,0.47,1.06
536831,2010-12-02,2010-12,16029,United Kingdom,260,4,4,569.4,2.19,4.95
536832,2010-12-02,2010-12,16634,United Kingdom,64,8,8,164.8,2.58,12.75
536833,2010-12-02,2010-12,18239,United Kingdom,208,29,29,438.1,2.11,8.5
536834,2010-12-02,2010-12,14576,United Kingdom,12,1,1,35.4,2.95,2.95
536835,2010-12-02,2010-12,13145,United Kingdom,1,1,1,295.0,295.0,295.0
536836,2010-12-02,2010-12,18168,United Kingdom,133,26,27,263.3,1.98,10.95
536837,2010-12-02,2010-12,14395,United Kingdom,174,27,27,308.68,1.77,8.5
536838,2010-12-02,2010-12,14865,United Kingdom,96,3,3,37.2,0.39,0.75
536839,2010-12-02,2010-12,15093,United Kingdom,879,16,16,623.73,0.71,7.95
536840,2010-12-02,2010-12,12738,Germany,147,10,10,137.35,0.93,9.95
536841,2010-12-02,2010-12,16150,United Kingdom,174,22,22,393.42,2.26,9.95
536842,2010-12-02,2010-12,17552,United Kingdom,130,11,11,263.62,2.03,5.95
536843,2010-12-02,2010-12,17552,United Kingdom,14,2,2,34.9,2.49,9.95
536844,2010-12-02,2010-12,14236,United Kingdom,38,3,3,189.3,4.98,7.95
536845,2010-12-02,2010-12,17961,United Kingdom,45,28,29,127.55,2.83,9.95
536846,2010-12-02,2010-12,14573,United Kingdom,134,68,76,413.1,3.08,16.95
536847,2010-12-03,2010-12,17135,United Kingdom,222,9,9,215.58,0.97,2.55
536848,2010-12-03,2010-12,13408,United Kingdom,280,3,3,534.0,1.91,2.55
536849,2010-12-03,2010-12,17396,United Kingdom,106,3,3,397.5,3.75,3.75
536851,2010-12-03,2010-12,12967,United Kingdom,360,15,15,1368.4,3.8,29.95
536852,2010-12-03,2010-12,12686,France,106,6,6,71.14,0.67,1.45
536856,2010-12-03,2010-12,13370,United Kingdom,343,39,39,754.87,2.2,12.75
536857,2010-12-03,2010-12,16883,United Kingdom,54,17,17,128.03,2.37,19.95
536858,2010-12-03,2010-12,13520,Switzerland,108,5,5,223.4,2.07,7.95
536859,2010-12-03,2010-12,12841,United Kingdom,186,24,24,294.25,1.58,7.95
536860,2010-12-03,2010-12,16905,United Kingdom,108,10,10,254.4,2.36,8.5
536861,2010-12-03,2010-12,12427,Germany,76,9,9,249.5,3.28,8.5
536863,2010-12-03,2010-12,17967,United Kingdom,80,41,48,123.07,1.54,9.95
536874,2010-12-03,2010-12,16891,United Kingdom,92,63,69,232.26,2.52,9.95
536884,2010-12-03,2010-12,14589,United Kingdom,5,3,3,39.75,7.95,7.95
536890,2010-12-03,2010-12,14156,EIRE,1548,3,3,322.2,0.21,0.85
536938,2010-12-03,2010-12,14680,United Kingdom,464,14,14,1680.88,3.62,10.95
536943,2010-12-03,2010-12,17884,United Kingdom,170,28,28,187.51,1.1,4.25
536944,2010-12-03,2010-12,12557,Spain,400,5,5,620.0,1.55,1.65
536945,2010-12-03,2010-12,14083,United Kingdom,179,62,66,309.54,1.73,16.95
536946,2010-12-03,2010-12,13013,United Kingdom,363,29,29,841.94,2.32,10.95
536947,2010-12-03,2010-12,13013,United Kingdom,439,38,38,686.4,1.56,12.75
536954,2010-12-03,2010-12,17809,United Kingdom,100,1,1,425.0,4.25,4.25
536956,2010-12-03,2010-12,14210,United Kingdom,93,15,15,304.95,3.28,12.75
536957,2010-12-03,2010-12,17809,United Kingdom,234,13,13,791.7,3.38,7.95
536960,2010-12-03,2010-12,16477,United Kingdom,125,14,14,225.65,1.81,5.45
536967,2010-12-03,2010-12,12600,Germany,30,1,1,58.5,1.95,1.95
536968,2010-12-03,2010-12,16013,United Kingdom,168,2,2,534.0,3.18,4.25
536969,2010-12-03,2010-12,16013,United Kingdom,192,1,1,528.0,2.75,2.75
536970,2010-12-03,2010-12,17949,United Kingdom,120,1,1,1314.0,10.95,10.95
536971,2010-12-03,2010-12,12779,Poland,140,8,8,248.16,1.77,8.5
536972,2010-12-03,2010-12,16926,United Kingdom,35,14,14,230.25,6.58,8.5
536973,2010-12-03,2010-12,17787,United Kingdom,356,30,31,736.28,2.07,12.75
536974,2010-12-03,2010-12,12682,France,130,15,15,300.24,2.31,7.95
536975,2010-12-03,2010-12,14911,EIRE,827,71,71,1705.65,2.06,16.95
536976,2010-12-03,2010-12,14723,United Kingdom,76,19,19,149.8,1.97,3.75
536977,2010-12-03,2010-12,17954,United Kingdom,60,14,14,108.78,1.81,9.95
536980,2010-12-03,2010-12,17819,United Kingdom,239,12,12,591.47,2.47,10.95
536981,2010-12-03,2010-12,14723,United Kingdom,37,21,23,99.44,2.69,9.95
536983,2010-12-03,2010-12,12712,Germany,59,8,8,157.53,2.67,8.5
536984,2010-12-03,2010-12,17841,United Kingdom,136,29,29,339.54,2.5,16.95
536985,2010-12-03,2010-12,15373,United Kingdom,42,11,11,334.3,7.96,29.95
536986,2010-12-03,2010-12,16140,United Kingdom,104,7,7,124.14,1.19,3.75
536987,2010-12-03,2010-12,17198,United Kingdom,124,52,53,272.01,2.19,12.75
536988,2010-12-03,2010-12,17238,United Kingdom,100,38,38,254.39,2.54,9.95
536989,2010-12-03,2010-12,17238,United Kingdom,26,22,22,115.7,4.45,9.95
536990,2010-12-03,2010-12,12793,Portugal,64,6,6,103.8,1.62,2.95
536992,2010-12-03,2010-12,15769,United Kingdom,36,1,1,91.8,2.55,2.55
536993,2010-12-03,2010-12,14396,United Kingdom,39,34,34,110.35,2.83,8.5
536994,2010-12-03,2010-12,14898,United Kingdom,18,3,3,98.5,5.47,14.95
537022,2010-12-03,2010-12,12725,Italy,162,23,23,371.8,2.3,5.95
537023,2010-12-03,2010-12,16725,United Kingdom,64,25,25,122.15,1.91,16.95
537026,2010-12-03,2010-12,12395,Belgium,526,11,11,310.1,0.59,9.95
537030,2010-12-03,2010-12,16455,United Kingdom,142,13,13,246.3,1.73,3.75
537031,2010-12-03,2010-12,16455,United Kingdom,108,6,6,135.0,1.25,1.25
537034,2010-12-03,2010-12,13081,United Kingdom,1338,73,73,2355.18,1.76,10.95
537035,2010-12-03,2010-12,13081,United Kingdom,8,1,1,11.6,1.45,1.45
537036,2010-12-03,2010-12,15545,United Kingdom,75,31,31,135.33,1.8,9.95
537037,2010-12-05,2010-12,17243,United Kingdom,92,11,11,256.9,2.79,4.95
537038,2010-12-05,2010-12,15465,United Kingdom,125,7,7,535.75,4.29,10.95
537040,2010-12-05,2010-12,13089,United Kingdom,192,2,2,734.4,3.82,10.95
537041,2010-12-05,2010-12,16033,United Kingdom,52,26,26,155.64,2.99,8.5
537042,2010-12-05,2010-12,13838,United Kingdom,83,48,52,238.11,2.87,12.75
537044,2010-12-05,2010-12,18055,United Kingdom,93,19,19,431.45,4.64,19.95
537045,2010-12-05,2010-12,15038,United Kingdom,46,30,35,126.43,2.75,8.95
537046,2010-12-05,2010-12,18109,United Kingdom,55,14,14,277.45,5.04,12.75
